time,smo2_dom,smo2_ndom,heart_rate,smo2_avg,participant_id,session,power,lap
0,70.50268700338447,82.30226013364835,90,76.4024735685164,1,3,70,1
1,70.50379467207318,82.30271021618842,83,76.4032524441308,1,3,70,1
2,70.50840042502267,82.306279279567,83,76.40733985229483,1,3,70,1
3,70.51654502483962,82.3128743312926,91,76.41470967806612,1,3,70,1
4,70.52828507150855,82.32238196951045,94,76.4253335205095,1,3,70,1
5,70.54367395260158,82.33466828096505,96,76.43917111678331,1,3,70,1
6,70.56274371279073,82.34957869366937,99,76.45616120323005,1,3,70,1
7,70.58549018286018,82.36693778637112,99,76.47621398461565,1,3,70,1
8,70.61186643975574,82.3865498375315,99,76.49920813864362,1,3,70,1
9,70.64178479285945,82.40820167715229,99,76.52499323500587,1,3,70,1
10,70.67512261542782,82.43166774694036,99,76.5533951811841,1,3,70,1
11,70.71172929147677,82.45671561640746,102,76.58422245394212,1,3,70,1
12,70.75143349967146,82.48311127562437,105,76.61727238764792,1,3,70,1
13,70.79405005621355,82.51062459838839,107,76.65233732730097,1,3,70,1
14,70.83938553904449,82.53903468679849,108,76.68921011292149,1,3,70,1
15,70.88724250113955,82.56813412538526,109,76.7276883132624,1,3,70,1
16,70.93742266603623,82.59773166052317,109,76.7675771632797,1,3,70,1
17,70.98972920618925,82.62765350344993,109,76.80869135481959,1,3,70,1
18,71.0439679121424,82.65774394264817,109,76.85085592739529,1,3,70,1
19,71.09994754819434,82.68786565843209,107,76.89390660331321,1,3,70,1
20,71.15748017790276,82.71789954706591,108,76.93768986248433,1,3,70,1
21,71.21638195009527,82.74774444669364,109,76.98206319839446,1,3,70,1
22,71.27647454337063,82.77731735217131,110,77.02689594777097,1,3,70,1
23,71.33758727194049,82.80655412038573,109,77.07207069616311,1,3,70,1
24,71.39955966050688,82.83541027720676,109,77.11748496885681,1,3,70,1
25,71.46224429574711,82.86386134185274,108,77.16305281879993,1,3,70,1
26,71.52550976181679,82.89190237675324,107,77.20870606928501,1,3,70,1
27,71.58924327199783,82.91954676329478,107,77.2543950176463,1,3,70,1
28,71.6533524132921,82.94682459367924,106,77.30008850348567,1,3,70,1
29,71.71776610325043,82.97378126390618,106,77.3457736835783,1,3,70,1
30,71.78243554078806,83.00047577972641,106,77.39145566025724,1,3,70,1
31,71.8473349570092,83.02697799459268,110,77.43715647580095,1,3,70,1
32,71.91246099632221,83.05336526640946,111,77.48291313136583,1,3,70,1
33,71.97783063071657,83.07971911722515,111,77.52877487397086,1,3,70,1
34,72.04347858267295,83.10612218728569,106,77.57480038497931,1,3,70,1
35,72.10945474414805,83.13265596989484,104,77.62105535702145,1,3,70,1
36,72.17582159108288,83.15939854551533,104,77.6676100682991,1,3,70,1
37,72.24265159267583,83.18642124095537,105,77.7145364168156,1,3,70,1
38,72.31002461449573,83.21378528536435,106,77.76190494993004,1,3,70,1
39,72.37802511925244,83.24153992499531,106,77.80978252212387,1,3,70,1
40,72.44673877382753,83.26972180070655,109,77.85823028726705,1,3,70,1
41,72.51624855880905,83.29835490468106,110,77.90730173174506,1,3,70,1
42,72.58663096446872,83.32745082318453,112,77.95704089382663,1,3,70,1
43,72.65795275960237,83.35700906991401,111,78.00748091475819,1,3,70,1
44,72.7302687221938,83.38701731468251,109,78.05864301843815,1,3,70,1
45,72.8036201357911,83.41745140990915,107,78.11053577285013,1,3,70,1
46,72.87803327045098,83.44827541017898,105,78.16315434031497,1,3,70,1
47,72.95351765255448,83.47944187786383,107,78.21647976520916,1,3,70,1
48,73.03006451327077,83.51089267044942,107,78.2704785918601,1,3,70,1
49,73.10764570815455,83.5425601127595,108,78.32510291045702,1,3,70,1
50,73.18621330309408,83.57436806726656,109,78.38029068518031,1,3,70,1
51,73.26570002211646,83.6062328059936,110,78.43596641405503,1,3,70,1
52,73.34602075285142,83.63806378273904,112,78.49204226779523,1,3,70,1
53,73.4270747205335,83.66976440447618,113,78.54841956250485,1,3,70,1
54,73.50874735648149,83.70123397378605,113,78.60499066513377,1,3,70,1
55,73.5909117650842,83.73237129150256,112,78.66164152829339,1,3,70,1
56,73.67343057138571,83.76307806789585,112,78.71825431964078,1,3,70,1
57,73.75615844385833,83.79326087594359,112,78.77470965990096,1,3,70,1
58,73.8389450994155,83.8228322334389,112,78.8308886664272,1,3,70,1
59,73.92163859782323,83.85171130310046,112,78.88667495046184,1,3,70,1
60,74.00408873272777,83.87982440711639,112,78.94195656992207,1,3,70,1
61,74.08614993641488,83.90710574749275,112,78.99662784195382,1,3,70,1
62,74.16768272526402,83.93349813827194,113,79.05059043176797,1,3,70,1
63,74.24855388324414,83.95895297037046,114,79.1037534268073,1,3,70,1
64,74.32863675115794,83.98342940993612,114,79.15603308054703,1,3,70,1
65,74.40781201385404,84.00689361127628,114,79.20735281256516,1,3,70,1
66,74.48596840213334,84.02931823760754,114,79.25764331987044,1,3,70,1
67,74.56300292105524,84.05068219262327,113,79.30684255683926,1,3,70,1
68,74.63882041132173,84.07097085591516,111,79.35489563361844,1,3,70,1
69,74.71333283550815,84.09017711518342,111,79.4017549753458,1,3,70,1
70,74.7864592660044,84.1083026102409,112,79.44738093812265,1,3,70,1
71,74.85812657603292,84.1253584086336,113,79.49174249233326,1,3,70,1
72,74.92826985961334,84.14136530793307,115,79.5348175837732,1,3,70,1
73,74.99683238653249,84.15635415466129,114,79.57659327059689,1,3,70,1
74,75.06376567856297,84.17036588687658,114,79.61706578271978,1,3,70,1
75,75.1290299029015,84.18345100730912,112,79.6562404551053,1,3,70,1
76,75.19259438852353,84.19566868150476,112,79.69413153501415,1,3,70,1
77,75.25443807099309,84.20708575284127,111,79.73076191191717,1,3,70,1
78,75.31454967110123,84.21777567350841,110,79.76616267230483,1,3,70,1
79,75.37292760765335,84.22781715533071,110,79.80037238149202,1,3,70,1
80,75.42957983966822,84.2372924417463,109,79.83343614070726,1,3,70,1
81,75.48452363802245,84.24628519971228,110,79.86540441886737,1,3,70,1
82,75.53778509134601,84.25487832288422,110,79.89633170711511,1,3,70,1
83,75.5893982483676,84.26315223002608,110,79.92627523919684,1,3,70,1
84,75.63940389630923,84.2711838524489,111,79.95529387437907,1,3,70,1
85,75.68784836495146,84.27904611414502,112,79.98344723954824,1,3,70,1
86,75.73478313602867,84.286807708342,113,80.01079542218534,1,3,70,1
87,75.78026525723418,84.29453297426838,113,80.03739911575127,1,3,70,1
88,75.82435777974239,84.30228177552449,113,80.06331977763344,1,3,70,1
