time,smo2_dom,smo2_ndom,heart_rate,smo2_avg,participant_id,session,power,lap
0,69.79194573163375,81.09485034510443,99,75.44339803836908,8,1,90,1
1,69.74637287547341,81.04792125306331,98,75.39714706426835,8,1,90,1
2,69.67822991328808,80.98804878853653,96,75.3331393509123,8,1,90,1
3,69.5876506112267,80.91537861125428,100,75.2515146112405,8,1,90,1
4,69.47484581699582,80.8301357700993,102,75.15249079354757,8,1,90,1
5,69.340102921046,80.73261881274956,103,75.03636086689778,8,1,90,1
6,69.18378439602346,80.62319370080529,102,74.90348904841437,8,1,90,1
7,69.00632521495677,80.50228762333204,102,74.7543064191444,8,1,90,1
8,68.80822953268495,80.37038289822841,105,74.58930621545667,8,1,90,1
9,68.59006759910794,80.22801085725621,104,74.40903922818208,8,1,90,1
10,68.3524727013443,80.07574531709537,105,74.21410900921984,8,1,90,1
11,68.096136760434,79.91419562819038,104,74.0051661943122,8,1,90,1
12,67.8218046702811,79.74399968266034,104,73.78290217647071,8,1,90,1
13,67.53026892865506,79.5658170668966,105,73.54804299777584,8,1,90,1
14,67.22236493880386,79.38032234893186,106,73.30134364386785,8,1,90,1
15,66.89896618904623,79.18819858786047,105,73.04358238845336,8,1,90,1
16,66.56097939488689,78.99013124988993,105,72.77555532238841,8,1,90,1
17,66.2093405654486,78.7868027154979,104,72.49807164047326,8,1,90,1
18,65.84501207764512,78.57888756215638,107,72.21194981990075,8,1,90,1
19,65.46897996320902,78.36704870954647,105,71.91801433637775,8,1,90,1
20,65.08225080834694,78.15193441672172,106,71.61709261253432,8,1,90,1
21,64.68584786050062,77.93417573074,107,71.31001179562031,8,1,90,1
22,64.2808064240709,77.71438359639525,103,70.99759501023308,8,1,90,1
23,63.86816911440174,77.49314561723884,104,70.68065736582028,8,1,90,1
24,63.44898114898328,77.27102323868236,105,70.36000219383283,8,1,90,1
25,63.02428546456823,77.04854953910557,104,70.0364175018369,8,1,90,1
26,62.59511744885622,76.82622723006659,104,69.71067233946141,8,1,90,1
27,62.16249907543979,76.60452734499002,104,69.3835132102149,8,1,90,1
28,61.72743271850681,76.38388909617645,105,69.05566090734163,8,1,90,1
29,61.290895411685284,76.16471855188763,105,68.72780698178646,8,1,90,1
30,60.85383392557544,75.94738446853918,108,68.4006091970573,8,1,90,1
31,60.41716064876005,75.7322146855092,107,68.07468766713463,8,1,90,1
32,59.98174996494611,75.51949629556255,109,67.75062313025433,8,1,90,1
33,59.54843452682001,75.30947822024176,108,67.42895637353088,8,1,90,1
34,59.11800180315043,75.10237374728484,109,67.11018777521764,8,1,90,1
35,58.691192251680135,74.89836263602182,110,66.79477744385098,8,1,90,1
36,58.26869881291335,74.69759356772144,108,66.4831461903174,8,1,90,1
37,57.851165762500955,74.50018742575757,107,66.17567659412927,8,1,90,1
38,57.43918642373222,74.3062415983209,108,65.87271401102656,8,1,90,1
39,57.03330070546912,74.11583471652608,106,65.5745677109976,8,1,90,1
40,56.63399304151292,73.92903046082677,107,65.28151175116984,8,1,90,1
41,56.24169091807975,73.74588014185889,106,64.99378552996932,8,1,90,1
42,55.85676466459469,73.56642483498523,106,64.71159474978995,8,1,90,1
43,55.47952967156439,73.39069736034585,106,64.43511351595512,8,1,90,1
44,55.11025054204502,73.21872391271623,108,64.16448722738062,8,1,90,1
