time,smo2_dom,smo2_ndom,heart_rate,smo2_avg,participant_id,session,power,lap
0,53.24654531415822,50.844251340188364,101,52.04539832717329,7,1,70,1
1,53.248541407321895,50.834275132217755,101,52.041408269769825,7,1,70,1
2,53.250280470505,50.812532335025786,101,52.03140640276539,7,1,70,1
3,53.25159852048606,50.77887261192017,103,52.01523556620312,7,1,70,1
4,53.25227100229301,50.73310270476084,106,51.99268685352692,7,1,70,1
5,53.25203032709903,50.675011735234854,109,51.96352103116694,7,1,70,1
6,53.25058517621068,50.60439962137148,112,51.927492398791074,7,1,70,1
7,53.247639624412784,50.52110705177115,114,51.88437333809197,7,1,70,1
8,53.24291091661525,50.425044289404774,116,51.83397760301001,7,1,70,1
9,53.23614551213803,50.316216563887664,118,51.77618103801285,7,1,70,1
10,53.2271326206278,50.19474429774879,118,51.7109384591883,7,1,70,1
11,53.21571406301294,50.06087709354694,118,51.63829557827994,7,1,70,1
12,53.20178997302297,49.915001089709804,119,51.558395531366386,7,1,70,1
13,53.18532053676813,49.757639583603556,120,51.47148006018584,7,1,70,1
14,53.166323674384465,49.58944711085892,120,51.37788539262169,7,1,70,1
15,53.144868274233204,49.41119755805548,121,51.27803291614434,7,1,70,1
16,53.12106327203873,49.223767274030244,122,51.17241527303449,7,1,70,1
17,53.095043549348155,49.028114630924456,124,51.061579090136306,7,1,70,1
18,53.066954210321526,48.82525797218277,125,50.94610609125215,7,1,70,1
19,53.036935380695304,48.616253200708485,126,50.82659429070189,7,1,70,1
20,53.005108697217814,48.40217157670199,127,50.703640136959905,7,1,70,1
21,52.971565680539484,48.18407868425026,127,50.57782218239487,7,1,70,1
22,52.936358867587444,47.963015915614804,127,50.449687391601124,7,1,70,1
23,52.89949726267553,47.73998504195157,127,50.319741152313554,7,1,70,1
24,52.86094639918392,47.51593565926714,127,50.18844102922553,7,1,70,1
25,52.82063203629446,47.291755201468135,127,50.056193618881295,7,1,70,1
26,52.77844661344602,47.06826111561171,127,49.92335386452886,7,1,70,1
27,52.73425768330204,46.84619499049735,127,49.79022633689969,7,1,70,1
28,52.687917837156476,46.62621862589616,127,49.65706823152632,7,1,70,1
29,52.639275929710976,46.408911835796005,127,49.52409388275349,7,1,70,1
30,52.58818911775717,46.19477158518615,127,49.39148035147166,7,1,70,1
31,52.5345349347274,45.98421264641114,127,49.25937379056927,7,1,70,1
32,52.47822242787244,45.777570547641936,126,49.127896487757184,7,1,70,1
33,52.41920118943833,45.57510709958703,125,48.99715414451268,7,1,70,1
34,52.357467990576446,45.37701830009248,123,48.86724314533446,7,1,70,1
35,52.29307160394401,45.1834437346463,122,48.73825766929515,7,1,70,1
36,52.22611610762264,44.99447590905242,121,48.61029600833753,7,1,70,1
37,52.156762669575485,44.810168926793224,120,48.483465798184355,7,1,70,1
38,52.08522981100473,44.63054689971273,120,48.35788835535873,7,1,70,1
39,52.01179214608482,44.4556123837288,120,48.23370226490681,7,1,70,1
40,51.936777594667305,44.28535503422637,121,48.11106631444684,7,1,70,1
41,51.86056306369339,44.1197601884131,123,47.99016162605325,7,1,70,1
42,51.783568884845295,43.95881659441565,124,47.87119273963047,7,1,70,1
43,51.70625258782749,43.80252299466652,125,47.754387791247005,7,1,70,1
44,51.62910190523095,43.65089375878478,125,47.639997832007865,7,1,70,1
45,51.55262622159347,43.50396356593008,123,47.528294893761775,7,1,70,1
